rating,title,author,date,helpful_votes,clean_review,pos_counts,constituency_tree,dependency_tree,named_entities
9.0,Murphy is exceptional,Orlando_Gardner,"Jul 19, 2023",,murphi except,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('murphi', 'ROOT', 'murphi'), ('except', 'prep', 'murphi')]",{}
8.0,"A challenging watch to be sure, but a worthwhile one.",Jeremy_Urquhart,"Jul 20, 2023",,challeng watch sure worthwhil one,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('challeng', 'nsubj', 'watch')]","[('challeng', 'nsubj', 'watch'), ('watch', 'ROOT', 'watch'), ('sure', 'advmod', 'worthwhil'), ('worthwhil', 'ccomp', 'watch'), ('one', 'dobj', 'worthwhil')]",{'PERSON': 1}
7.0,Quality but exhausting,Bonobo13579,"Jul 21, 2023",,qualiti exhaust,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('qualiti', 'advmod', 'exhaust'), ('exhaust', 'ROOT', 'exhaust')]",{'GPE': 1}
10.0,And the Oscar goes to...,mark-217-307033,"Jul 19, 2023",,oscar goe,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('oscar goe', 'ROOT', 'goe')]","[('oscar', 'compound', 'goe'), ('goe', 'ROOT', 'goe')]",{}
10.0,A brilliantly layered examination of a man throughout all of his incredible accomplishments and fundamental flaws,MrDHWong,"Jul 20, 2023",,brilliantli layer examin man throughout incred accomplish fundament flaw,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('brilliantli layer examin man', 'ROOT', 'man'), ('incred accomplish fundament flaw', 'pobj', 'throughout')]","[('brilliantli', 'compound', 'layer'), ('layer', 'compound', 'examin'), ('examin', 'compound', 'man'), ('man', 'ROOT', 'man'), ('throughout', 'prep', 'man'), ('incred', 'amod', 'flaw'), ('accomplish', 'amod', 'fundament'), ('fundament', 'compound', 'flaw'), ('flaw', 'pobj', 'throughout')]",{}
8.0,"Nolan touches greatness, falls slightly short",Geekofriendly,"Jul 26, 2023",,nolan touch great fall slightli short,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('nolan', 'npadvmod', 'touch'), ('touch', 'nmod', 'fall'), ('great', 'amod', 'fall'), ('fall', 'npadvmod', 'short'), ('slightli', 'compound', 'short'), ('short', 'ROOT', 'short')]",{}
8.0,Is it just me ?,pdean-49132,"Jul 21, 2023",,,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],[],{}
10.0,A Masterpiece,mohameddawoud-26019,"Jul 19, 2023",,masterpiec,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('masterpiec', 'ROOT', 'masterpiec')]","[('masterpiec', 'ROOT', 'masterpiec')]",{}
10.0,Nolan delivers a powerfull biopic that shows the dark side of human nature!,and_mikkelsen,"Jul 20, 2023",,nolan deliv powerful biopic show dark side human natur,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('nolan', 'nsubj', 'deliv'), ('dark side', 'dobj', 'show')]","[('nolan', 'nsubj', 'deliv'), ('deliv', 'compound', 'biopic'), ('powerful', 'compound', 'biopic'), ('biopic', 'nsubj', 'show'), ('show', 'ROOT', 'show'), ('dark', 'amod', 'side'), ('side', 'dobj', 'show'), ('human', 'compound', 'natur'), ('natur', 'npadvmod', 'show')]",{'PERSON': 1}
6.0,This just might be as interesting as this topic can get,EShy,"Jul 25, 2023",,might interest topic get,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('might interest topic', 'nsubj', 'get')]","[('might', 'aux', 'interest'), ('interest', 'compound', 'topic'), ('topic', 'nsubj', 'get'), ('get', 'ROOT', 'get')]",{}
10.0,A Cinematic Masterpiece by Christopher Nolan,Dvir971,"Jul 19, 2023",,cinemat masterpiec christoph nolan,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('cinemat masterpiec christoph nolan', 'ROOT', 'nolan')]","[('cinemat', 'compound', 'masterpiec'), ('masterpiec', 'compound', 'christoph'), ('christoph', 'compound', 'nolan'), ('nolan', 'ROOT', 'nolan')]",{}
6.0,"Breaks all filmmaklng rules, but not in a good way",timmyhollywood,"Jul 23, 2023",,break filmmaklng rule good way,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('filmmaklng rule', 'dobj', 'break')]","[('break', 'ROOT', 'break'), ('filmmaklng', 'compound', 'rule'), ('rule', 'dobj', 'break'), ('good', 'amod', 'way'), ('way', 'npadvmod', 'break')]",{}
5.0,Highly overrated,bartlooman,"Jul 25, 2023",,highli overr,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}",[],"[('highli', 'compound', 'overr'), ('overr', 'ROOT', 'overr')]",{}
,Severely overhyped,maison-van-cleers,"Jul 27, 2023",,sever overhyp,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('sever overhyp', 'ROOT', 'overhyp')]","[('sever', 'amod', 'overhyp'), ('overhyp', 'ROOT', 'overhyp')]",{}
9.0,Nolan at his best!,shivamkanodia-94992,"Jul 19, 2023",,nolan best,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('nolan', 'ROOT', 'nolan')]","[('nolan', 'ROOT', 'nolan'), ('best', 'advmod', 'nolan')]",{}
9.0,Exceptional storytelling and Genius Cinametography,Zay-Fee,"Jul 20, 2023",,except storytel geniu cinametographi,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('storytel geniu cinametographi', 'pobj', 'except')]","[('except', 'ROOT', 'except'), ('storytel', 'compound', 'geniu'), ('geniu', 'compound', 'cinametographi'), ('cinametographi', 'pobj', 'except')]",{}
8.0,Simply amazing,bissatadam,"Jul 19, 2023",,simpli amaz,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('simpli', 'ROOT', 'simpli')]","[('simpli', 'ROOT', 'simpli'), ('amaz', 'advmod', 'simpli')]",{}
8.0,Technically superb but...,leestoych,"Jul 22, 2023",,technic superb,"{'Noun': 0, 'Verb': 0, 'Adjective': 0, 'Adverb': 0}","[('technic superb', 'ROOT', 'superb')]","[('technic', 'amod', 'superb'), ('superb', 'ROOT', 'superb')]",{'PERSON': 1}
